Category,Parent,Disease,Syn,,,SNOMED,ConceptID,Profile,Antibodies
Lungs,Cryptogenic organizing pneumonia,Cryptogenic organizing pneumonia,N,,,719218000,36714118,"Cryptogenic organizing pneumonia is inflammation and scarring of the small airways and air sacs of the lungs. The exact cause is not understood, but an autoimmune response is suspected. ",
Vascular system,Behçet's syndrome,Hughes Stovin syndrome,S,,,721226005,36715522,,
Liver,Autoimmune hepatitis,Autoimmune hepatitis type 1,T,,,721711009,36715923,"Autoimmune hepatitis is a condition that occurs when your immune system mistakenly targets and attacks your liver cells, leading to long-term chronic liver inflammation, swelling, and damage. It may occur at any age and typically affects women more than men. It is often linked to other autoimmune diseases. The precise cause of autoimmune hepatitis is not fully understood, but it's believed that a combination of genetic and environmental factors plays a role in initiating the disease over time. When diagnosed and treated promptly, autoimmune hepatitis can often be managed with medications that dampen the immune response. In situations where drug treatments don't work or in advanced liver disease cases, a liver transplant might be considered an option.
",autoantibodies against aromatic L-amino acid decarboxylase (AADC) correlated to type 2 autoimmune hepatitis 
Liver,Autoimmune hepatitis,Autoimmune hepatitis type 3,T,,,721713007,36715924,"Autoimmune hepatitis is a condition that occurs when your immune system mistakenly targets and attacks your liver cells, leading to long-term chronic liver inflammation, swelling, and damage. It may occur at any age and typically affects women more than men. It is often linked to other autoimmune diseases. The precise cause of autoimmune hepatitis is not fully understood, but it's believed that a combination of genetic and environmental factors plays a role in initiating the disease over time. When diagnosed and treated promptly, autoimmune hepatitis can often be managed with medications that dampen the immune response. In situations where drug treatments don't work or in advanced liver disease cases, a liver transplant might be considered an option.
",autoantibodies against aromatic L-amino acid decarboxylase (AADC) correlated to type 2 autoimmune hepatitis 
Blood,Immunoglobulin G4 related disease,IgG4-related sclerosing cholangitis,T,,,722870008,36716713,,
Pancreas,Autoimmune pancreatitis,Autoimmune pancreatitis type 1,T,,,722872000,36716715,,Elevated IgG4
Musculoskeletal,Myositis,autoimmune myopathy,T,,,722991004,36716807,,
Blood,Immunoglobulin G4 related disease,Immunoglobulin G4 related disease,N,,,1.07433E+16,36717255,"Immunoglobulin G4 is a type of antibody normally found in humans. However, in some persons, the level of this antibody is elevated and it plays a role in the development of several autoimmune diseases, including myasthenia gravis, pemphigus, autoimmune thrombocytopenic purpura and autoimmune pancreatitis. IgG4-related diseases (IgG4-RD) are complex fibro-inflammatory disorder that can affect any organ. Medical practitioners assign a diagnosis based on symptoms and the organ affected.  The primary clinical feature in IgG4-RD entails a tumor-like presentation coupled with tissue-destructive lesions.For more information, see the pages on specific diseases. 

At this time, not all IgG4 diseases are documented, and many are very rare. However, as this disease profile shows, IgG4-related disease has 19 synonyms and subtypes, so it may be more common as a class than thought. ",
Glands,Autoimmune oophoritis,Autoimmune oophoritis,N,,,721198006,36717453,"In autoimmune oophoritis, the immune system mistakenly attacks the ovaries, causing inflammation, atrophy, and fibrosis. These changes keep the ovaries from working normally, and the result can be primary ovarian insufficiency (POI). Autoimmune oophoritis is associated with lupus, pernicious anemia, myasthenia gravis, autoimmune polyendocrine syndrome type I or type II, and other autoimmune conditions. Special blood tests and imaging are used to diagnose this condition.",
Liver,Autoimmune hepatitis,Autoimmune hepatitis type 2,T,,,721712002,36717496,"Autoimmune hepatitis is a condition that occurs when your immune system mistakenly targets and attacks your liver cells, leading to long-term chronic liver inflammation, swelling, and damage. It may occur at any age and typically affects women more than men. It is often linked to other autoimmune diseases. The precise cause of autoimmune hepatitis is not fully understood, but it's believed that a combination of genetic and environmental factors plays a role in initiating the disease over time. When diagnosed and treated promptly, autoimmune hepatitis can often be managed with medications that dampen the immune response. In situations where drug treatments don't work or in advanced liver disease cases, a liver transplant might be considered an option.
",autoantibodies against aromatic L-amino acid decarboxylase (AADC) correlated to type 2 autoimmune hepatitis 
Nervous System,Autoimmune retinopathy,Autoimmune retinopathy,N,,,724809006,37110540,"Autoimmune retinopathy is a rare immune-mediated disorder in which autoantibodies attack retinal proteins, leading to progressive photoreceptor dysfunction. It is considered autoimmune even when no underlying trigger or associated systemic disease can be identified.",
Pancreas,Autoimmune pancreatitis,Autoimmune pancreatitis type 2,T,,,1197740007,37162896,,
Nervous System,Myelin oligodendrocyte glycoprotein antibody-associated disease,Myelin oligodendrocyte glycoprotein antibody-associated disease,N,,,1237194006,37164973,"Myelin oligodendrocyte glycoprotein disease (MOG) is a recently recognized condition marked by the presence of antibodies against myelin oligodendrocyte glycoprotein (MOG).  The disease differs from multiple sclerosis (MS),  aquaporin-4 (AQP4) antibody disease, and neuromyelitis optica spectrum disorders (NMOSD).  MOG symptoms can range from those of neuromyelitis optica to acute demyelinating encephalomyelitis and cortical encephalitis. A correct diagnosis requires both  specific and sensitive assays for the antibody.  In brain images MOG overlaps with AQP4 antibody NMOSD but can be usually distinguished from MS.  In particular, the silent lesions typical of MS that progressively increase lesion volume are rare in MOG antibody disease. Medium-term immunosuppression appears to be protective. Permanent disability, particularly severe ambulatory and visual disability, is less frequent than in AQP4 antibody NMOSD and usually results from the onset attack. ",
Blood,Acquired hemophilia,Acquired hemophilia,N,,,785308008,37203917,"Acquired Hemophilia is an autoimmune disorder in which the immune system targets and damages a type of protein in the blood necessary for clotting.  The result is spontaneous bleeding that is difficult to stop, which may occur both on the surface of the skin and internal to the body, affecting muscles and organs.  Patients also bruise easily with little trauma.  A range of triggers can cause severe bleeding episodes, including physical activity, surgery, and giving birth.  Bleeding may also occur with no obvious cause.  Treatments are available to control bleeding episodes.  Without medical care, patients are at risk of muscle death or of life-threatening bleeding complications.",Factor VIII
Heart,Postmyocardial infarction syndrome,Delayed postmyocardial infarction syndrome,T,,,827164008,37311078,,
Heart,Postmyocardial infarction syndrome,Dressler's syndrome,S,,,827164008,37311078,,
Kidney,Anti-glomerular basement membrane disease,Anti-glomerular basement membrane disease,N,,,788613004,37312293,"Anti-glomerular basement membrane (anti-GBM) disease is a rare autoimmune illness that mainly affects the kidneys and sometimes the lungs. In this condition, the immune system mistakenly attacks a specific part of the body called the basement membrane, which helps keep the tiny blood vessels in the kidneys and lungs working properly.

People with anti-GBM disease make special proteins called antibodies that wrongly target this membrane, especially in the kidney’s filtering units (glomeruli) and the tiny air sacs in the lungs (alveoli). This can lead to serious kidney damage and, in some cases, bleeding in the lungs.

The disease often develops suddenly and can get worse quickly. Sometimes, it seems to be triggered by things like a bad cold, flu, or exposure to chemicals like gasoline fumes. Doctors treat it by trying to remove the harmful antibodies from the blood and by calming down the immune system.

In addition to ""anti-GBM disease,"" the condition may be referred to as:
•	""Anti-GBM nephritis"" when the disease is primarily or exclusively affecting the kidneys;
•	""Anti-GBM tubulointerstitial nephritis"" when the immune attack also involves the kidney tubules and surrounding tissue, not just the glomeruli (a rare variant);
•	""Goodpasture syndrome"" when both lung bleeding and kidney inflammation are present, regardless of whether anti-GBM antibodies have been detected—for example, in rare cases where the syndrome is clinically present but lab tests are negative.",collagen IV
